pick_mode,mom_wins,rebal_n,abs_thresh,ma_win,trail_stop,risk_adj,calmar,ann,mdd,sharpe,total,years,max_hold,dist
class,"(10, 20, 60)",10,0.0,20,0.05,True,1.2901215324167763,0.22994905817442368,0.1782382918170985,1.0160876801245617,1.5422423866039128,4.508064516129032,1,4.509878467583223
class,"(10, 20, 60)",10,0.0,60,0.05,True,1.2510165436584777,0.2312543848462456,0.18485317881565688,1.0166575764987362,1.5544280052377264,4.508064516129032,1,4.548983456341523
class,"(10, 20, 60)",5,0.0,60,0.05,True,0.7503346530284344,0.17166867504149042,0.22878947993220955,0.7506519271752984,1.0425681864786194,4.508064516129032,1,5.049665346971565
class,"(20, 60)",10,0.0,20,0.05,True,0.7180706367436956,0.1334522707202639,0.18584838857280506,0.6808321785169142,0.7589492194897702,4.508064516129032,1,5.081929363256304
class,"(10, 20, 60)",10,0.08,60,0.05,True,0.6082254101940978,0.1307393116899167,0.21495207122010074,0.6937581641381408,0.7400493010738556,4.508064516129032,1,5.1917745898059025
class,"(10, 20, 60)",10,0.08,20,0.05,True,0.6035269623190012,0.129729370587645,0.21495207122010074,0.69160333730847,0.7330540256073002,4.508064516129032,1,5.196473037680999
class,"(10, 20, 60)",5,0.08,60,0.05,True,0.520021217462581,0.11403144909277718,0.21928230092069756,0.5866688569454993,0.6271093300060833,4.508064516129032,1,5.279978782537419
class,"(10, 20, 60)",5,0.0,20,0.05,True,0.4397375561876012,0.1370677645390077,0.31170356638933916,0.6562783742461574,0.784384549581431,4.508064516129032,1,5.360262443812399
all,"(10, 20, 60)",10,0.08,20,0.05,True,0.3755276725863523,0.1144602400705721,0.3047984168044289,0.5444185668981104,0.6299345238107923,4.508064516129032,1,5.424472327413648
all,"(10, 20, 60)",10,0.08,60,0.05,True,0.3755276725863523,0.1144602400705721,0.3047984168044289,0.5444185668981104,0.6299345238107923,4.508064516129032,1,5.424472327413648
all,"(10, 20, 60)",10,0.0,60,0.05,True,0.36180639209372223,0.12168104089941378,0.33631534311835365,0.5573985293680122,0.6780866382450668,4.508064516129032,1,5.438193607906277
class,"(10, 20, 60)",5,0.0,20,0.08,True,0.3469599775766959,0.09546395682290587,0.2751440021689633,0.48470663886709336,0.5083799725621148,4.508064516129032,1,5.453040022423304
all,"(10, 20, 60)",10,0.0,20,0.05,True,0.30255984826894045,0.10287132472872784,0.3400032268567481,0.4961940000532887,0.5549081670262213,4.508064516129032,1,5.497440151731059
class,"(10, 20, 60)",5,0.0,60,0.08,True,0.28668165460091627,0.0788787377953164,0.27514400216896295,0.42228253003581706,0.4081300365153808,4.508064516129032,1,5.5133183453990835
